column,dtype,missing_count,missing_pct,distinct_count,issue_level,recommended_action,notes
rev_Mean,float64,357,0.00357,37468,high,impute_encode_or_keep,5 negative values in mostly non-negative field
mou_Mean,float64,357,0.00357,9730,informational,impute_encode_or_keep,
totmrc_Mean,float64,357,0.00357,8491,high,impute_encode_or_keep,23 negative values in mostly non-negative field
da_Mean,float64,357,0.00357,172,informational,impute_encode_or_keep,
ovrmou_Mean,float64,357,0.00357,2638,informational,impute_encode_or_keep,
ovrrev_Mean,float64,357,0.00357,12315,informational,impute_encode_or_keep,
vceovr_Mean,float64,357,0.00357,7516,informational,impute_encode_or_keep,
datovr_Mean,float64,357,0.00357,774,informational,impute_encode_or_keep,
roam_Mean,float64,357,0.00357,5337,informational,impute_encode_or_keep,
change_mou,float64,891,0.00891,7711,informational,impute_encode_or_keep,
change_rev,float64,891,0.00891,32537,informational,impute_encode_or_keep,
drop_vce_Mean,float64,0,0.0,328,informational,impute_encode_or_keep,
drop_dat_Mean,float64,0,0.0,60,informational,impute_encode_or_keep,
blck_vce_Mean,float64,0,0.0,442,informational,impute_encode_or_keep,
blck_dat_Mean,float64,0,0.0,54,informational,impute_encode_or_keep,
unan_vce_Mean,float64,0,0.0,986,informational,impute_encode_or_keep,
unan_dat_Mean,float64,0,0.0,52,informational,impute_encode_or_keep,
plcd_vce_Mean,float64,0,0.0,2907,informational,impute_encode_or_keep,
plcd_dat_Mean,float64,0,0.0,389,informational,impute_encode_or_keep,
recv_vce_Mean,float64,0,0.0,1829,informational,impute_encode_or_keep,
recv_sms_Mean,float64,0,0.0,94,informational,impute_encode_or_keep,
comp_vce_Mean,float64,0,0.0,2316,informational,impute_encode_or_keep,
comp_dat_Mean,float64,0,0.0,366,informational,impute_encode_or_keep,
custcare_Mean,float64,0,0.0,209,informational,impute_encode_or_keep,
ccrndmou_Mean,float64,0,0.0,458,informational,impute_encode_or_keep,
cc_mou_Mean,float64,0,0.0,9231,informational,impute_encode_or_keep,
inonemin_Mean,float64,0,0.0,1312,informational,impute_encode_or_keep,
threeway_Mean,float64,0,0.0,91,informational,impute_encode_or_keep,
mou_cvce_Mean,float64,0,0.0,68951,informational,impute_encode_or_keep,
mou_cdat_Mean,float64,0,0.0,4420,informational,impute_encode_or_keep,
mou_rvce_Mean,float64,0,0.0,51988,informational,impute_encode_or_keep,
owylis_vce_Mean,float64,0,0.0,882,informational,impute_encode_or_keep,
mouowylisv_Mean,float64,0,0.0,26847,informational,impute_encode_or_keep,
iwylis_vce_Mean,float64,0,0.0,536,informational,impute_encode_or_keep,
