feature,importance,source
median_num__eqpdays,0.019643209874629974,xgboost_gain
median_num__months,0.01961309090256691,xgboost_gain
cat__ethnic_H,0.013148890808224678,xgboost_gain
cat__ethnic_None,0.013028501532971859,xgboost_gain
cat__crclscod_B2,0.012191705405712128,xgboost_gain
cat__kid3_5_U,0.011915599927306175,xgboost_gain
cat__asl_flag_Y,0.011892114765942097,xgboost_gain
cat__dwllsize_None,0.011781373992562294,xgboost_gain
cat__crclscod_EA,0.011702303774654865,xgboost_gain
cat__dualband_U,0.01113391574472189,xgboost_gain
cat__asl_flag_N,0.010756514966487885,xgboost_gain
cat__dualband_Y,0.010013912804424763,xgboost_gain
median_num__hnd_price,0.009821191430091858,xgboost_gain
median_num__uniqsubs,0.009459451772272587,xgboost_gain
median_num__totmrc_Mean,0.00898488238453865,xgboost_gain
domain_zero_num__mou_Mean,0.00893344171345234,xgboost_gain
cat__ethnic_S,0.008887243457138538,xgboost_gain
median_num__usage_efficiency,0.00845169834792614,xgboost_gain
cat__crclscod_A2,0.008303831331431866,xgboost_gain
cat__area_NORTH FLORIDA AREA,0.008246087469160557,xgboost_gain
domain_zero_num__overage_intensity,0.007752191741019487,xgboost_gain
median_num__avgqty,0.0076944250613451,xgboost_gain
domain_zero_num__change_mou,0.007520279847085476,xgboost_gain
cat__dwlltype_M,0.007500757928937674,xgboost_gain
cat__ethnic_Z,0.007456053514033556,xgboost_gain
cat__crclscod_D4,0.007052024360746145,xgboost_gain
domain_zero_num__rev_per_mou,0.006856994703412056,xgboost_gain
median_num__lor,0.006556239910423756,xgboost_gain
cat__area_PHILADELPHIA AREA,0.006452331785112619,xgboost_gain
domain_zero_num__avgmou,0.006325711030513048,xgboost_gain
cat__crclscod_GA,0.006281697656959295,xgboost_gain
cat__crclscod_C2,0.006206795573234558,xgboost_gain
cat__dwllsize_F,0.006110356654971838,xgboost_gain
cat__dualband_T,0.0061002145521342754,xgboost_gain
domain_zero_num__drop_vce_Mean,0.006038174498826265,xgboost_gain
cat__ethnic_X,0.00598164414986968,xgboost_gain
domain_zero_num__ovrmou_Mean,0.005937193054705858,xgboost_gain
median_num__avgrev,0.005839229561388493,xgboost_gain
median_num__actvsubs,0.005793791729956865,xgboost_gain
cat__HHstatin_C,0.005679539870470762,xgboost_gain
