rev_Mean,mou_Mean,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean,vceovr_Mean,datovr_Mean,roam_Mean,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,plcd_vce_Mean,plcd_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,attempt_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,months,Customer_ID,uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,device_age_band,multi_line_flag,rev_per_mou,overage_intensity,roam_ratio,custcare_intensity,usage_efficiency,clv_proxy,satisfaction_proxy,prizm_social_one_missing_flag,hnd_webcap_missing_flag,ownrent_missing_flag,lor_missing_flag,dwlltype_missing_flag,adults_missing_flag,infobase_missing_flag,income_missing_flag,numbcars_missing_flag,HHstatin_missing_flag,dwllsize_missing_flag,actual_churn,p_churn,Conservative_expected_preserved_value,Conservative_expected_campaign_cost,Conservative_expected_net_value,Base_expected_preserved_value,Base_expected_campaign_cost,Base_expected_net_value,Aggressive_expected_preserved_value,Aggressive_expected_campaign_cost,Aggressive_expected_net_value
632.875,2733.75,46.4425,0.0,957.0,287.1,287.1,0.0,0.0,-2733.75,-579.635,81.0,0.0,12.66666667,0.0,115.6666667,0.0,443.0,0.0,141.0,0.0,249.6666667,0.0,8.333333333,29.33333333,23.67333333,98.33333333,2.333333333,996.5633333,0.0,314.5766667,77.66666667,244.2666667,19.33333333,273.9866667,134.6666667,0.0,525.2566667,0.0,148.0,0.0,785.8866667,0.0,93.66666667,443.0,249.6666667,0.0,0.0,14,1045848,2,2,U,AA,N,4493,23814.0,4572.59,4489.36,23792.0,4484,345.34,1830.15,344.92,3645,638,826,3114.0,519.0,631.0,,CALIFORNIA NORTH AREA,N,N,79.98999023,5.0,3.0,WC,0.0,0.0,,,M,U,1.0,M,6.0,,A,,0.0,N,U,U,U,U,U,Y,173.0,<180,1,0.23141969101380383,6.051536069979449,0.0,116.66666666200001,57.622384992359166,8860.25,0.06499892679013179,1,0,1,1,0,0,0,0,1,0,1,1,0.7057458,857.565856218338,45,812.565856218338,2411.904196947813,65,2346.904196947813,4716.612209200859,85,4631.612209200859
575.75,3328.5,36.61,3.465,1149.25,530.45,530.45,0.0,0.0,1134.5,410.25,49.0,0.0,7.0,0.0,726.3333333,0.0,1221.0,0.0,54.66666667,0.0,444.6666667,0.0,57.0,561.0,533.7266667,21.66666667,0.666666667,3004.166667,0.0,271.0633333,21.66666667,11.69666667,0.0,0.0,163.6666667,0.0,731.6666667,0.0,324.0,0.0,2543.56,0.0,56.0,1221.0,444.6666667,0.0,0.0,15,1049040,3,1,N,BA,N,4021,19086.0,2105.16,2047.11,18977.0,4009,146.22,1355.5,286.36,2950,441,439,2145.0,396.0,276.0,U,NEW YORK CITY AREA,Y,N,59.98999023,3.0,3.0,WCMB,0.0,0.0,,3.0,M,U,1.0,M,5.0,1.0,A,A,0.0,I,U,U,U,U,U,N,373.0,365-730,1,0.17292386244180807,14.103961712310557,0.0,855.0,88.50039883009838,8636.25,0.013868863461205163,0,0,1,0,0,0,0,0,0,0,0,1,0.6496677,718.1686404705048,45,673.1686404705048,2019.8494042754173,65,1954.8494042754173,3949.9275225877764,85,3864.9275225877764
545.8225,3561.75,116.905,23.76,1033.25,395.8,395.8,0.0,0.61,-239.75,-344.3925,148.0,0.0,14.33333333,0.0,342.6666667,0.0,1447.333333,0.0,689.6666667,0.0,1000.333333,0.0,19.33333333,63.66666667,55.19666667,390.3333333,38.66666667,1227.116667,0.0,975.4466667,137.0,189.0766667,55.66666667,99.92333333,901.0,0.0,1302.61,0.0,642.3333333,0.0,879.9466667,0.0,162.3333333,1447.333333,1000.333333,0.0,17.0,7,1095608,5,4,U,A,N,8506,17885.0,3173.08,3001.24,17136.0,8170,600.25,3427.2,1634.0,3642,1698,661,,,,U,GREAT LAKES AREA,Y,N,199.9899902,1.0,1.0,WCMB,1.0,0.0,O,1.0,S,B,1.0,M,2.0,2.0,,A,0.0,P,U,U,U,U,U,N,182.0,180-365,0,0.15320258227492808,3.356939909248972,0.00017121605501368325,135.33333331,30.20864255120648,3820.7574999999997,0.04221141689253484,0,0,0,0,0,0,0,0,0,1,0,1,0.66756946,699.5989382793904,45,654.5989382793904,1967.6220627111197,65,1902.6220627111197,3847.794160536647,85,3762.794160536647
587.035,4253.75,182.0875,16.0875,1473.75,313.4375,313.4375,0.0,75.2725,52.25,-114.095,28.0,0.0,6.333333333,0.0,129.6666667,0.0,734.6666667,0.0,536.0,0.0,579.6666667,0.0,0.666666667,16.33333333,15.79333333,403.0,0.0,2133.766667,0.0,939.75,104.3333333,259.4766667,0.666666667,1.28,828.0,0.0,2503.693333,0.0,212.6666667,0.0,569.8266667,0.0,34.33333333,734.6666667,579.6666667,0.0,5.666666667,14,1062477,1,1,Y,AA,N,11683,57613.0,9738.89,9577.9,57507.0,11654,736.76,4423.62,896.46,4236,852,625,4535.0,907.0,739.0,S,DALLAS AREA,Y,N,149.9899902,1.0,1.0,WCMB,0.0,0.0,,,,U,,,,,,,0.0,S,U,U,U,U,U,N,414.0,365-730,0,0.13797167871202773,1.7119546664846044,0.01769140372524825,9.333333338,23.23342664026763,8218.49,0.29597871477613363,0,0,1,1,1,1,1,1,1,1,1,0,0.58964765,664.5961573753357,45,619.5961573753357,1869.1766926181315,65,1804.1766926181315,3655.2788655643467,85,3570.2788655643467
465.64,1055.75,71.2875,0.0,279.0,279.0,279.0,0.0,0.4875,164.25,65.88,4.666666667,0.0,0.333333333,0.0,37.33333333,0.0,165.0,0.0,31.0,0.0,124.0,0.0,0.0,0.0,0.0,18.66666667,0.0,513.57,0.0,43.42,5.333333333,4.753333333,0.0,0.0,58.0,0.0,219.0733333,0.0,90.0,0.0,337.92,0.0,5.0,165.0,124.0,0.0,0.0,14,1044943,2,1,N,A,N,4373,13322.0,3548.97,3364.43,13105.0,4288,258.8,1008.08,329.85,1001,230,444,996.0,278.0,343.0,,GREAT LAKES AREA,Y,N,129.9899902,1.0,1.0,WCMB,0.0,0.0,,,,U,,,,,,,0.0,H,U,U,U,U,U,N,439.0,365-730,0,0.440634019399101,3.8595884489019543,0.00046132008516678496,0.0,14.604876361749957,6518.96,0.20577874248300893,1,0,1,1,1,1,1,1,1,1,1,0,0.735658,657.6994477539063,45,612.6994477539063,1849.7796968078612,65,1784.7796968078612,3617.3469626464844,85,3532.3469626464844
861.105,951.0,10.0,0.0,0.0,0.0,0.0,0.0,850.8625,-924.0,-851.105,0.0,0.0,0.333333333,0.0,5.666666667,0.0,14.33333333,0.0,8.666666667,0.0,8.333333333,0.0,3.333333333,6.666666667,4.506666667,6.666666667,0.0,11.63,0.0,2.856666667,0.0,0.0,0.0,0.0,5.333333333,0.0,6.35,0.0,7.0,0.0,8.136666667,0.0,0.333333333,14.33333333,8.333333333,0.0,0.0,7,1076359,1,1,U,AA,N,1071,4992.0,3801.0,3741.02,4969.0,1066,623.5,828.17,177.67,1259,249,1145,828.0,178.0,624.0,U,NEW YORK CITY AREA,Y,N,149.9899902,1.0,1.0,WCMB,0.0,0.0,,6.0,S,U,1.0,M,1.0,1.0,B,A,0.0,H,U,U,U,U,U,N,224.0,180-365,0,0.9045220588235294,0.0,0.8937631302521007,23.333333331000002,86.45454545454545,6027.735000000001,0.23076923078698222,0,0,1,0,0,0,0,0,0,0,0,1,0.39059624,645.781201725483,45,600.781201725483,1816.2597068417072,65,1751.2597068417072,3551.7966094901567,85,3466.7966094901567
471.67,1468.0,20.1875,0.0,168.5,67.3925,67.1,0.2925,0.0,1062.0,390.75,1.666666667,0.0,0.0,0.0,9.0,0.0,38.0,0.0,2.333333333,0.0,27.33333333,0.0,4.666666667,5.0,1.123333333,2.333333333,0.0,247.3566667,0.0,0.876666667,1.666666667,0.716666667,0.0,0.0,7.666666667,0.0,47.0,0.0,21.33333333,0.0,201.2333333,0.0,1.666666667,38.0,27.33333333,0.0,0.0,7,1096491,1,1,U,BA,N,1156,7471.0,1513.2,1443.22,7438.0,1144,240.54,1239.67,190.67,1114,142,341,1240.0,191.0,241.0,U,NEW YORK CITY AREA,Y,N,129.9899902,2.0,2.0,WCMB,0.0,0.0,,,,U,,,,,,,0.0,S,U,U,U,U,U,N,156.0,<180,1,0.32108236895847514,3.1807669616519174,0.0,32.666666669,69.28613569321534,3301.69,0.11302712650610412,0,0,1,1,1,1,1,1,1,1,1,0,0.69477826,629.195642068863,45,584.195642068863,1769.612883887291,65,1704.612883887291,3460.576031378747,85,3375.576031378747
563.785,4913.75,104.345,0.99,1835.0,453.33,453.0375,0.2925,0.0,1799.25,365.405,125.6666667,0.0,12.0,0.0,245.0,0.0,1339.666667,0.333333333,1298.666667,0.0,1017.333333,0.333333333,1.333333333,8.0,6.86,785.0,3.0,1912.683333,0.06,1719.58,216.3333333,281.15,92.0,179.49,1229.333333,0.0,2156.926667,0.0,811.6666667,0.333333333,1475.34,0.06,137.6666667,1340.0,1017.666667,0.0,48.66666667,14,1051688,2,2,U,EA,N,16370,37627.0,3166.66,3093.43,37610.0,16363,237.96,2893.08,1258.69,4314,1732,442,3457.0,1465.0,300.0,U,DC/MARYLAND/VIRGINIA AREA,N,N,129.9899902,2.0,2.0,WCMB,0.0,0.0,,,,U,,,,,,,0.0,Z,U,U,U,U,U,N,122.0,<180,1,0.11471285416348745,4.303289192652713,0.0,18.666666661999997,46.64435901086905,7892.99,0.1506790534092716,0,0,1,1,1,1,1,1,1,1,1,0,0.5192571,562.0788204379081,45,517.0788204379081,1580.8466320753096,65,1515.8466320753096,3091.433512408495,85,3006.433512408495
592.495,2264.75,109.99,0.2475,0.0,0.0,0.0,0.0,488.78,-750.75,-453.065,21.66666667,0.0,30.0,0.0,56.66666667,0.333333333,263.3333333,0.333333333,104.3333333,0.0,163.3333333,0.0,3.666666667,12.0,9.596666667,45.33333333,0.0,586.2533333,0.0,311.6333333,54.33333333,67.69333333,43.33333333,75.28,128.3333333,0.0,345.39,0.0,131.0,0.0,552.4966667,0.0,51.66666667,263.6666667,163.3333333,0.0,3.333333333,19,1043553,2,2,U,ZA,N,5857,21610.0,3706.24,3595.48,21609.0,5856,199.75,1200.5,325.33,2515,469,744,1984.0,440.0,428.0,C,ATLANTIC SOUTH AREA,Y,R,129.9899902,2.0,2.0,WCMB,1.0,1.0,O,2.0,M,S,6.0,M,1.0,1.0,,K,0.0,H,U,U,U,U,U,Y,245.0,180-365,1,0.26150060686306964,0.0,0.2157254772150502,69.666666673,20.404991440670333,11257.405,0.21428571427040818,0,0,0,0,0,0,0,0,0,1,0,0,0.47036326,535.080773513794,45,490.08077351379404,1504.9146755075456,65,1439.9146755075456,2942.944254325867,85,2857.944254325867
423.5,4487.0,159.99,17.82,1602.25,240.3375,240.3375,0.0,15.3525,565.0,73.92,106.0,0.0,4.0,0.0,137.6666667,0.0,1104.333333,0.0,753.0,0.0,917.3333333,0.0,0.0,0.0,0.0,307.3333333,1.333333333,1031.69,0.0,1297.74,154.3333333,112.9866667,66.0,96.10666667,1311.666667,0.0,2000.403333,0.0,260.6666667,0.0,329.03,0.0,110.0,1104.333333,917.3333333,0.0,105.0,11,1090971,2,2,Y,AA,N,12820,31423.0,3125.95,2938.27,31390.0,12800,293.83,3139.0,1280.0,4299,1881,399,3327.0,1428.0,314.0,S,SOUTHWEST AREA,Y,N,199.9899902,2.0,2.0,WCMB,0.0,0.0,,,,U,,M,,,,,0.0,F,Y,U,U,U,U,N,55.0,<180,1,0.09436274509803921,1.492872228088701,0.0034207887700534755,0.0,27.871296353810795,4658.5,0.4011437043312507,0,0,1,1,1,1,0,1,1,1,1,0,0.65391,531.7072516441345,45,486.70725164413454,1495.4267209768295,65,1430.4267209768295,2924.38988404274,85,2839.38988404274
